Gen,Fevals,Best,dx,df
1,20,0.5881668633722777,5.262929931760218,0.11146421174683796
2,40,0.5894709817996692,1.0853326744316751,0.05610011103591428
3,60,0.6014696193270398,3.12845436796933,0.06287994580558254
4,80,0.6014696193270398,3.12845436796933,0.06287994580558254
5,100,0.6014696193270398,0.29128889494107824,0.039770305383808546
6,120,0.6014696193270398,1.7169417595103527,0.030396029741120434
7,140,0.6014696193270398,1.7169417595103527,0.030396029741120434
8,160,0.6019538799842167,1.5970374897262507,0.030880290398297316
9,180,0.6063163680001888,2.273606661077395,0.016227089772526626
10,200,0.6095919713396094,1.9651453353451172,0.018477446352843763
11,220,0.6095919713396094,1.9651453353451172,0.018477446352843763
12,240,0.6095919713396094,1.357690375307715,0.017921801536862847
13,260,0.6097280165839676,0.5032117011276329,0.014065082489592484
14,280,0.6097280165839676,0.5032117011276329,0.014065082489592484
15,300,0.6097280165839676,0.32115175665778,0.012376074380444635
